QTD_CPC_10D,QTD_CPC_1M,QTD_CPC_3M,QTD_CPC_6M,QTD_CP_10D,QTD_CP_1M,QTD_CP_3M,QTD_CP_6M,QTD_ACIONAMENTO_10D,QTD_ACIONAMENTO_1M,QTD_ACIONAMENTO_3M,QTD_ACIONAMENTO_6M,NU_DIAS_ATRASO,VALOR_CRELIQ,DIVIDA_ATUAL,RESPOSTA,QTD_PARCELAMENTO_3M,QTD_PARCELAMENTO_6M,QTD_PARCELAMENTO_12M,LIMITE,QTD_EXTRATOS,QTD_FX0_GERAL,QTD_FX1_GERAL,QTD_FX2_GERAL,QTD_FX0_3M,QTD_FX0_6M,QTD_FX1_3M,QTD_FX1_6M,QTD_FX2_3M,QTD_FX2_6M
0,0,0,0,0,0,0,0,2,2,6,124,193,495.36,670.67,0,0,0,0,342,2,2,0,0,3,3,0,0,0,0
0,0,0,0,0,0,0,5,0,0,22,145,295,2154.1,3583.2,0,0,0,0,1424,1,1,0,0,2,2,0,0,0,0
0,0,0,0,0,0,3,6,0,6,51,161,316,1224.17,2104.67,0,0,0,0,517,4,3,1,0,3,4,1,1,0,0
0,0,2,2,0,0,1,2,0,0,17,30,346,3712.03,6686.54,0,2,2,2,4627,51,51,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,11,30,50,478,3003.06,7141.3,0,0,0,0,2027,39,38,1,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,10,28,131,145,222,425.81,582.13,0,2,2,2,364,12,12,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10,86,266,2338.01,3683.26,0,0,0,0,2008,9,9,0,0,4,6,0,0,0,0
0,0,0,0,0,0,0,0,1,2,2,7,266,5073.96,7916.16,0,1,1,2,2149,50,50,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,226,1324.81,1912.4,0,0,1,1,2603,29,23,5,1,2,5,2,2,0,0
0,0,0,0,0,3,7,8,1,16,49,165,203,1166.79,1623.27,0,0,0,0,730,3,3,0,0,4,4,0,0,0,0
0,0,0,0,0,0,4,4,8,9,48,48,201,599.97,825.02,0,1,1,1,443,10,9,1,0,4,6,0,1,0,0
0,0,0,0,0,0,0,0,0,20,32,36,445,2661.31,5935.72,0,0,0,0,1819,33,33,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,8,22,102,248,904.27,1375.63,0,0,0,0,534,4,4,0,0,4,5,0,0,0,0
0,0,0,0,0,0,2,2,9,20,70,213,231,1511.6,2203.34,0,0,0,0,699,9,8,1,0,3,6,1,1,0,0
0,0,0,0,0,0,0,0,0,1,1,1,352,446.57,823.38,0,0,0,0,270,18,14,4,0,4,6,0,1,0,0
0,0,0,0,0,0,0,0,1,4,38,87,360,510.22,911.97,0,0,0,0,989,24,22,2,0,3,5,1,2,0,0
0,0,0,0,0,0,2,3,1,12,24,54,404,1494.27,3077.66,0,0,0,0,1109,51,43,8,0,3,6,1,1,0,0
0,0,0,0,0,0,0,0,1,2,2,2,231,1185.1,1727.43,0,1,1,1,270,6,4,2,0,3,5,1,2,0,0
0,0,0,3,0,0,1,3,1,8,30,106,316,3372.61,5731.25,0,0,0,0,2200,35,34,1,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,2,19,29,527,1808.28,4638.49,0,1,2,2,1870,29,25,4,0,3,5,1,1,0,0
0,0,0,0,0,0,0,2,0,14,101,229,201,1487.22,2061.06,0,0,0,0,922,1,1,0,0,1,1,1,1,0,0
0,0,0,0,0,0,2,6,1,2,8,62,196,1608.9,2191.03,0,0,0,0,1044,16,16,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,79,266,1107.15,1744.18,0,0,0,0,1242,36,31,4,1,4,7,0,0,0,0
0,0,0,1,1,1,3,3,14,58,113,264,190,3094.26,4205.66,0,1,1,3,1157,58,53,4,1,2,4,1,2,1,1
0,0,0,0,0,0,0,0,3,12,22,106,318,842.4,1468.15,0,0,0,0,536,1,1,0,0,2,2,0,0,0,0
0,0,0,0,0,0,0,0,2,12,22,102,210,2532.11,3577.92,0,1,1,2,1945,41,41,0,0,4,7,0,0,0,0
0,0,0,0,1,1,2,2,2,5,17,43,346,3948.73,7112.9,0,0,0,0,2987,51,51,0,0,4,7,0,0,0,0
0,0,0,0,0,0,1,1,1,27,90,131,333,1723.43,3092.39,0,0,1,2,1100,25,25,0,0,4,7,0,0,0,0
0,0,0,0,0,0,1,1,0,6,26,48,435,1614.38,3531.42,0,0,1,2,1055,30,29,1,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,1,10,57,128,306,1249.47,2127.42,0,0,0,0,742,40,39,1,0,4,6,0,0,0,0
0,0,0,2,0,0,0,3,0,0,0,94,191,255.43,344.48,0,1,1,1,1309,32,29,3,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,4,28,85,137,328,1804.85,3207.2,0,0,0,0,1247,23,20,3,0,1,1,0,0,0,0
0,0,0,2,0,0,0,1,0,10,43,154,287,1164.92,1911.6,0,1,1,1,1238,20,19,1,0,3,6,1,1,0,0
0,0,0,0,0,0,0,0,10,23,70,128,216,1430.79,2025.66,0,0,0,0,899,15,15,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,6,80,165,192,333,3427.54,6150.13,0,2,2,2,2275,28,24,4,0,3,5,1,2,0,0
0,0,0,0,0,0,0,0,4,26,92,140,328,2230.17,3962.98,0,0,0,0,876,15,12,2,1,3,6,1,1,0,0
0,0,0,0,0,0,1,1,3,8,18,72,382,1754.07,3388.46,0,1,1,1,497,33,30,3,0,3,5,1,2,0,0
0,0,0,0,0,0,1,6,1,7,44,106,252,1027.7,1572.53,0,1,2,2,843,10,10,0,0,4,7,0,0,0,0
0,0,1,1,0,0,0,0,2,3,37,75,472,2934.98,6752.72,0,0,1,1,1631,46,40,5,1,2,4,1,2,1,1
0,0,0,1,0,0,0,2,14,29,85,129,269,521.42,824.63,0,0,0,0,270,5,4,1,0,3,5,1,1,0,0
0,0,0,0,0,0,0,1,0,3,15,198,196,746.84,1017.07,0,0,0,0,674,33,30,2,1,2,5,1,1,1,1
