QTD_CPC_10D,QTD_CPC_1M,QTD_CPC_3M,QTD_CPC_6M,QTD_CP_10D,QTD_CP_1M,QTD_CP_3M,QTD_CP_6M,QTD_ACIONAMENTO_10D,QTD_ACIONAMENTO_1M,QTD_ACIONAMENTO_3M,QTD_ACIONAMENTO_6M,NU_DIAS_ATRASO,VALOR_CRELIQ,DIVIDA_ATUAL,RESPOSTA,QTD_PARCELAMENTO_3M,QTD_PARCELAMENTO_6M,QTD_PARCELAMENTO_12M,LIMITE,QTD_EXTRATOS,QTD_FX0_GERAL,QTD_FX1_GERAL,QTD_FX2_GERAL,QTD_FX0_3M,QTD_FX0_6M,QTD_FX1_3M,QTD_FX1_6M,QTD_FX2_3M,QTD_FX2_6M
0,0,0,0,1,1,1,5,1,2,2,16,247,3030.82,4557.24,0,0,0,0,1889,38,33,5,0,3,6,1,1,0,0
0,0,2,2,0,0,0,0,5,16,48,133,206,814.8,1140.2,0,0,0,0,449,20,19,1,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,6,19,21,266,681.39,1063.08,0,0,0,0,1958,49,41,8,0,3,6,1,1,0,0
0,0,0,0,0,0,1,5,5,32,154,328,191,149.76,192.79,0,0,0,0,1122,46,41,5,0,3,5,1,1,0,0
0,0,0,0,0,0,0,0,8,12,12,12,242,2017.91,3004.87,0,0,0,0,1201,33,29,4,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,20,145,292,242,760.46,1132.4,0,0,0,0,401,16,16,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,9,12,12,12,270,3065.33,4819.69,0,1,1,2,2892,49,49,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,12,345,2313.38,4167.12,0,0,0,0,1629,27,27,0,0,4,7,0,0,0,0
0,0,2,2,0,0,0,0,12,14,36,50,275,921.15,1462.47,0,0,0,0,337,14,11,3,0,2,4,2,3,0,0
0,0,0,0,0,0,0,0,3,6,16,287,311,2674.97,4501.78,0,0,0,0,2283,42,37,4,1,2,5,2,2,0,0
0,0,0,0,0,0,0,0,2,9,100,166,226,679.61,981.03,0,0,0,0,506,4,4,0,0,4,5,0,0,0,0
0,0,0,0,0,0,0,0,2,15,54,107,323,5321,9363.98,0,1,1,1,2360,31,29,2,0,2,5,2,2,0,0
0,0,1,2,0,0,2,4,0,4,38,60,251,2355.91,3604.89,0,0,0,0,3154,43,43,0,0,4,7,0,0,0,0
0,0,1,1,0,0,1,2,0,3,113,249,218,1471.56,2111.91,0,1,1,1,848,7,6,1,0,3,6,1,1,0,0
0,0,0,0,1,3,5,12,20,58,110,308,188,1172.17,1583.93,0,0,0,0,719,2,2,0,0,3,3,0,0,0,0
0,0,1,3,0,0,0,2,10,12,25,180,188,2293.02,3038.92,0,1,2,3,1800,19,18,1,0,4,6,0,1,0,0
0,0,2,2,0,0,0,1,0,10,76,199,222,857.82,1238.29,0,1,2,2,508,17,17,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,2,0,0,28,145,196,452.79,616.62,0,0,0,0,270,5,3,1,1,2,2,0,0,0,0
0,0,0,0,0,0,1,1,3,3,53,162,231,281.88,410.87,0,0,0,0,270,2,2,0,0,3,3,0,0,0,0
0,0,0,1,0,0,0,2,1,8,61,81,252,815.22,1237.76,0,0,0,0,270,6,4,2,0,2,4,2,3,0,0
0,0,0,0,0,0,0,0,1,1,1,1,226,654.47,944.75,0,0,0,0,270,13,9,4,0,3,5,1,2,0,0
0,0,0,1,0,0,0,1,0,7,25,35,531,559.78,1394.67,0,0,0,0,225,7,6,1,0,3,6,1,1,0,0
0,0,0,0,0,0,1,1,1,8,33,63,362,1172.97,2179.57,0,1,2,3,2929,27,25,2,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,257,1182.27,1812.56,0,1,1,1,820,12,12,0,0,4,7,0,0,0,0
0,0,1,1,0,0,2,2,2,10,39,125,254,1503.27,2309.18,0,1,1,1,899,2,2,0,0,3,3,0,0,0,0
0,0,0,0,0,0,0,1,0,3,35,97,343,795,1454.47,0,1,1,1,449,11,10,1,0,3,5,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,334,534.2,909.56,0,1,1,1,2033,51,51,0,0,4,6,0,0,0,0
0,0,0,0,0,0,0,1,1,2,8,22,460,338.56,734.87,0,0,0,0,270,4,2,1,1,1,3,0,1,1,1
0,0,0,1,0,0,1,1,2,13,37,108,262,980.22,1529.3,0,1,1,1,811,21,21,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,7,21,78,118,247,2653.42,3989.75,0,0,0,0,1729,29,29,0,0,4,7,0,0,0,0
0,0,0,0,0,0,1,7,3,6,27,109,279,860.46,1390.21,0,0,0,0,601,4,3,1,0,3,4,1,1,0,0
0,0,0,0,0,1,3,4,2,14,51,175,271,1070.26,1702.52,0,0,0,0,1185,16,16,0,0,4,7,0,0,0,0
0,0,0,0,1,1,2,2,3,29,70,101,483,1412.34,3391.33,0,0,0,0,991,49,49,0,0,4,7,0,0,0,0
0,0,0,0,0,0,2,2,0,5,38,108,297,778.73,1302.93,0,1,1,1,1169,49,46,3,0,3,6,1,1,0,0
0,0,0,0,0,0,0,0,1,3,3,3,221,4962.85,7094.81,0,0,0,0,3304,48,48,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,2,8,27,61,358,1141.11,2149.4,0,0,0,0,667,30,29,1,0,4,7,0,0,0,0
0,0,0,0,0,0,0,1,3,7,17,49,224,2992.43,4253.07,0,0,0,0,2522,25,25,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,3,3,15,85,261,1141.87,1781.48,0,0,0,1,806,33,29,4,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,8,11,11,11,226,833.3,1202.9,0,0,0,0,270,5,4,1,0,3,5,1,1,0,0
0,0,0,0,0,0,1,1,1,2,5,8,332,1587.81,2816.04,0,0,0,0,1269,40,39,1,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,5,5,5,5,513,3031.19,7552.17,0,0,0,0,1348,8,6,2,0,3,5,1,2,0,0
0,0,0,0,0,0,0,0,2,7,23,99,405,2885.48,5828.75,0,2,3,4,3437,48,47,1,0,4,6,0,1,0,0
0,0,0,1,0,0,2,6,2,12,72,189,200,514.06,712.4,0,0,0,0,541,13,11,2,0,3,4,1,3,0,0
0,0,0,0,0,0,0,0,0,0,23,89,205,546.8,765.17,0,0,0,1,678,38,34,3,1,4,7,0,0,0,0
0,0,0,1,0,0,0,0,1,8,20,165,200,1502.27,2081.9,0,0,0,1,618,58,48,10,0,3,5,1,2,0,0
0,0,0,0,0,0,0,0,5,33,105,130,364,1311.67,2494.79,0,0,0,0,740,15,14,1,0,3,6,1,1,0,0
0,0,1,1,0,0,0,0,2,7,35,36,518,1692.58,4258.2,0,0,0,0,1348,40,38,2,0,3,6,1,1,0,0
0,0,0,0,0,0,0,1,2,6,17,27,377,942.82,1803.71,0,1,2,2,1091,38,34,4,0,3,5,1,2,0,0
0,0,1,3,0,0,3,4,9,17,181,237,211,716.39,1004.44,0,0,0,0,270,4,3,1,0,3,4,1,1,0,0
0,0,0,0,0,0,0,0,1,4,8,8,211,2001.92,2806.87,0,0,0,0,1180,4,4,0,0,3,3,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,257,1310.74,2009.53,0,1,1,1,1820,21,18,3,0,3,5,1,2,0,0
0,0,0,0,0,0,0,0,0,1,1,2,301,737.17,1231,0,0,0,0,1899,42,42,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,4,280,564.15,904.42,0,0,0,0,270,3,2,1,0,3,3,1,1,0,0
0,0,0,0,0,0,0,0,3,24,155,165,394,1296.21,2618.39,0,0,1,1,494,23,19,4,0,2,4,2,3,0,0
0,0,0,0,0,0,0,0,1,4,21,123,375,376.61,693.03,0,0,0,0,270,4,4,0,0,4,5,0,0,0,0
0,0,0,1,0,0,0,3,7,14,14,22,301,2696.92,4503.6,0,0,0,0,2101,42,39,3,0,4,7,0,0,0,0
0,0,0,0,0,0,1,1,0,18,61,125,331,967.38,1725.72,0,0,0,0,562,1,1,0,0,2,2,0,0,0,0
0,0,0,0,0,0,1,1,1,6,27,35,528,2352.67,6034.94,0,0,0,0,1736,22,22,0,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,9,11,59,59,342,761.78,1377.54,0,0,0,0,683,18,17,1,0,4,7,0,0,0,0
0,1,1,1,0,0,2,3,0,19,31,46,419,4060.92,8611.33,0,0,0,0,2118,10,9,1,0,3,5,1,1,0,0
0,0,0,0,0,0,2,2,0,0,30,44,235,328.85,461.08,0,0,0,0,169,8,6,2,0,3,6,1,1,0,0
0,0,0,0,0,0,0,1,0,18,97,231,196,2127.48,2897.26,0,0,0,0,1753,45,45,0,0,4,7,0,0,0,0
0,0,0,0,0,0,2,2,1,6,23,24,313,3601.58,6216.2,0,0,0,0,674,20,16,3,1,2,4,1,2,1,1
0,0,1,1,0,0,0,0,7,13,56,97,211,1338.4,1876.55,0,0,0,0,933,2,2,0,0,3,3,0,0,0,0
0,0,0,0,0,0,0,0,12,13,41,75,527,1278.6,3279.78,0,1,2,2,1255,23,22,1,0,3,6,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,226,368.21,531.53,0,0,1,1,461,14,11,3,0,3,5,1,2,0,0
0,0,0,0,0,0,1,1,0,3,40,129,222,794.75,1147.25,0,0,0,0,562,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,18,19,306,457.25,771.01,0,0,0,0,225,7,5,2,0,2,4,2,2,0,0
0,0,0,0,0,0,0,0,4,9,31,50,293,1575.89,2565.97,0,0,1,1,1411,32,29,2,1,4,7,0,0,0,0
0,0,0,0,0,2,2,3,2,13,23,56,424,1545.24,3308.71,0,1,1,1,1124,25,23,2,0,3,6,1,1,0,0
0,0,1,2,1,2,2,5,11,22,42,53,252,1902.79,2889.01,0,1,1,1,1572,39,38,1,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,1,9,34,153,297,1313.46,2197.62,0,2,2,2,1173,49,48,1,0,4,7,0,0,0,0
0,0,0,0,0,0,0,0,3,11,17,18,201,748,1028.58,0,1,3,3,1067,30,28,2,0,3,6,1,1,0,0
0,0,0,0,0,0,1,1,2,23,31,46,435,975.18,2133.18,0,1,1,1,404,22,16,6,0,3,4,1,3,0,0
0,0,0,0,0,0,0,0,2,18,74,102,509,1735.15,4382.27,0,0,1,1,1153,48,47,1,0,3,6,1,1,0,0
0,0,0,0,0,0,3,5,0,14,30,64,424,2085.85,4466.29,0,0,0,0,1273,50,49,1,0,4,6,0,0,0,0
0,0,0,0,0,0,0,0,2,8,12,55,370,506.72,923.46,0,1,1,1,270,22,19,3,0,4,5,0,2,0,0
0,0,0,0,0,0,3,6,1,7,27,49,419,588.08,1178.74,0,0,0,0,270,42,37,4,1,3,5,1,1,0,0
0,0,0,0,1,4,5,5,12,29,74,124,224,408.46,560.6,0,0,0,0,596,2,1,1,0,2,2,1,1,0,0
0,0,0,0,0,0,0,0,0,0,4,52,530,2464.07,6482.31,0,0,0,0,2238,18,12,4,2,2,4,1,2,1,1
